Date,Open,High,Low,Close,Adj Close,Volume
2006-10-02,10.728572,10.838572000000001,10.614285,10.694285,9.62118,178159800
2006-10-03,10.635715,10.707142999999999,10.455714,10.582857,9.520932,197677200
2006-10-04,10.585714,10.78,10.451428,10.768572,9.68801,207270700
2006-10-05,10.647142,10.88,10.59,10.69,9.617326,170970800
2006-10-06,10.631428999999999,10.72,10.544286,10.602858,9.538924,116739700
2006-10-09,10.542857000000001,10.725715,10.504286,10.661427999999999,9.591617999999999,109555600
2006-10-10,10.648571,10.654285,10.44,10.544286,9.486228,132897100
2006-10-11,10.488571,10.568571,10.371428,10.461428999999999,9.411686999999999,142963800
2006-10-12,10.515715,10.77,10.514286,10.751429,9.672589,148213800
2006-10-13,10.804286,10.982857000000001,10.677143,10.717143,9.641742,171049200
2006-10-16,10.741427999999999,10.84,10.684286,10.771428,9.69058,127173200
2006-10-17,10.72,10.752857,10.577143,10.612857,9.54792,120231300
2006-10-18,10.678572,10.767142999999999,10.558572,10.647142,9.578764999999999,283476900
2006-10-19,11.322857,11.421429,11.165714,11.284286,10.151978999999999,378244300
2006-10-20,11.281428,11.427143,11.238571,11.421429,10.275355000000001,159853400
2006-10-23,11.427143,11.7,11.392858,11.637143,10.469425,208126800
2006-10-24,11.601429,11.668571,11.457142999999999,11.578571,10.416731,115803100
2006-10-25,11.621428,11.714286,11.572857,11.668571,10.4977,121303700
2006-10-26,11.7,11.8,11.59,11.741427999999999,10.563248,108189200
2006-10-27,11.678572,11.778571000000001,11.43,11.487143,10.334475999999999,148741600
2006-10-30,11.427143,11.557143,11.357142,11.488571,10.33576,124979400
2006-10-31,11.635715,11.668571,11.461428999999999,11.582857,10.420588,125368600
2006-11-01,11.585714,11.625714,11.194285,11.308572,10.173827000000001,152798100
2006-11-02,11.274285,11.331429,11.214286,11.282857,10.150689999999999,116370800
2006-11-03,11.337143,11.361428,11.112857,11.184286,10.062012,107972200
2006-11-06,11.278571000000001,11.437142999999999,11.204286,11.387143,10.244513000000001,108644200
2006-11-07,11.492857,11.571428,11.447142999999999,11.501429,10.347329,131483100
2006-11-08,11.431429,11.812857000000001,11.412857,11.778571000000001,10.596662,172729200
2006-11-09,11.842857,12.098572,11.731428,11.905714,10.711047,230763400
2006-11-10,11.935715,11.942857,11.785714,11.874286,10.682772,93466100
2006-11-13,11.888572,12.064285,11.805715,12.05,10.840854,112668500
2006-11-14,12.114285,12.142858,11.985714,12.142858,10.924394,147238700
2006-11-15,12.15,12.271428,12.0,12.007143,10.802297,163830800
2006-11-16,12.124286,12.328571,12.088572000000001,12.23,11.002794999999999,173485200
2006-11-17,12.162857,12.277142999999999,12.142858,12.264286,11.033638999999999,116606000
2006-11-20,12.2,12.428572,12.171429,12.352858,11.113322,142698500
2006-11-21,12.488571,12.657143,12.444285,12.657143,11.387075999999999,155666700
2006-11-22,12.712857000000001,12.964286,12.55,12.901428,11.606848,167985300
2006-11-24,12.79,13.297143,12.785714,13.09,11.776498,129669400
2006-11-27,13.215714000000002,13.308572,12.785714,12.791428999999999,11.507885,268709000
2006-11-28,12.908571,13.138572,12.844286,13.115714,11.799632,259043400
2006-11-29,13.285714000000002,13.307143,12.892858,13.114285,11.798347,289270800
2006-11-30,13.172857,13.24,13.008572000000001,13.094286,11.780353999999999,217621600
2006-12-01,13.114285,13.19,12.871428,13.045714,11.736657000000001,198769900
2006-12-04,13.125714000000002,13.15,12.928572,13.017142999999999,11.710953,177384200
2006-12-05,13.092857,13.19,12.981428,13.038571000000001,11.730229,165709600
2006-12-06,12.948571000000001,13.055715,12.81,12.832857,11.545157000000001,159546100
2006-12-07,12.861428,12.928572,12.414286,12.434286,11.186579,251206900
2006-12-08,12.461428999999999,12.77,12.428572,12.608571000000001,11.343378999999999,196069300
2006-12-11,12.7,12.757143,12.578571,12.678572,11.406352,124945100
2006-12-12,12.658571,12.691428,12.218572,12.305715,11.070912,256655000
2006-12-13,12.564285,12.724286,12.45,12.721428999999999,11.444911,214263000
